year,Fxx,ABC,discarded
1998,0.4,1971135.9178251573,30489.69559195247
1998,0.5,1403211.5965955819,21617.880964034714
1998,0.6,985712.6057469766,15141.758076778488
1998,0.7,662860.201753888,10149.640576931428
1999,0.35,1996596.2752761778,38214.50971857467
1999,0.4,1679365.992391931,32048.453312406993
1999,0.5,1195408.840387871,22712.240182700305
1999,0.6,839688.0476952643,15902.784170721307
1999,0.7,564637.9098946044,10656.941847155407
2000,0.35,1808728.9814120478,43755.942722281165
2000,0.4,1521217.654635961,36687.789284820625
2000,0.5,1082696.135753385,25991.55623518313
2000,0.6,760444.8404694168,18194.589011624612
2000,0.7,511315.49228454113,12190.525317011405
2001,0.35,1667729.5085447894,50043.068876498946
2001,0.4,1402462.3368799926,41958.70328652206
2001,0.5,997994.0099664296,29725.05371939304
2001,0.6,700861.6339428426,20807.73659493777
2001,0.7,471205.2706048543,13941.156932836284
2002,0.35,1637366.4226876267,54527.71786864818
2002,0.4,1376793.1161299834,45724.19122249714
2002,0.5,979582.6627476417,32398.303556404226
2002,0.6,687858.1336586502,22681.87373086
2002,0.7,462424.81174514774,15198.280616731403
2003,0.35,1641553.0225201973,56401.88824185927
2003,0.4,1380210.9674221503,47303.71709123771
2003,0.5,981904.6306937793,33525.94260954286
2003,0.6,689432.6770481545,23475.606986662016
2003,0.7,463454.5386639405,15732.327074611649
2004,0.35,1660360.07280959,55268.7553220517
2004,0.4,1395992.1484023728,46360.96270863231
2004,0.5,993097.4746033895,32865.85951761859
2004,0.6,697274.1202284923,23017.49568629716
2004,0.7,468716.7301549279,15427.421093302642
2005,0.35,1662470.0217499651,51429.71000380559
2005,0.4,1397796.500942152,43146.56127398341
2005,0.5,994413.3571181255,30593.411040206014
2005,0.6,698214.3401474443,21429.17655672343
2005,0.7,469357.1051250626,14364.487633990851
2006,0.35,1661511.1139759778,46713.24313998088
2006,0.4,1397060.4680900155,39192.593064819564
2006,0.5,993964.7456131921,27792.887015514636
2006,0.6,697937.4427421946,19469.105207795823
2006,0.7,469190.5287921111,13051.405704388142
2007,0.35,1640329.1345648197,42714.30243584495
2007,0.4,1379317.6515568623,35838.49556692618
2007,0.5,981413.7609792188,25415.474946818336
2007,0.6,689161.2805881585,17804.271143224196
2007,0.7,463309.6521721423,11935.64698499648
2008,0.35,1629134.7316717454,39814.91995168984
2008,0.4,1369960.1133932897,33408.49069913158
2008,0.5,974815.0835516547,23695.028525855618
2008,0.6,684557.7759521974,16600.48480137538
2008,0.7,460230.3023191874,11129.388542402348
2009,0.35,1597638.0794392494,36910.186683953565
2009,0.4,1343522.738260051,30972.72810851524
2009,0.5,956055.0627672037,21969.159948307817
2009,0.6,671410.0083211381,15392.22789303742
2009,0.7,451404.5431133433,10319.790490291465
2010,0.35,1578056.4199332814,35008.28222961708
2010,0.4,1327097.4902188869,29376.154362584926
2010,0.5,944411.5007503193,20836.065989241488
2010,0.6,663255.7751063452,14598.039157969124
2010,0.7,445933.9273705565,9787.167732728158
2011,0.35,1553641.9860306848,35211.82966949968
2011,0.4,1306581.2907785599,29542.351130059706
2011,0.5,929828.2116752283,20949.05057577523
2011,0.6,653022.5947695846,14674.721070727197
2011,0.7,439058.18226262095,9837.30913654223
2012,0.35,1546532.0585949104,35829.501092368635
2012,0.4,1300598.3001825234,30061.840177778216
2012,0.5,925566.5359626184,21318.76115296198
2012,0.6,650027.6591256887,14934.365066998278
2012,0.7,437043.5588245285,10011.699681663516
2013,0.35,1530213.1935673235,34271.675995253536
2013,0.4,1286877.9504243992,28759.056200030787
2013,0.5,915806.144650986,20399.419219759024
2013,0.6,643174.7504361895,14292.642533393588
2013,0.7,432436.9705390097,9582.68216525379
2014,0.35,1507663.6156650258,31816.733958288332
2014,0.4,1267931.3839967318,26701.297439639744
2014,0.5,902341.1268956965,18942.27428674238
2014,0.6,633727.4761177315,13272.966217707022
2014,0.7,426089.8694322108,8899.675227150268
2015,0.35,1489921.5500360916,30260.297323134615
2015,0.4,1253048.6495460074,25392.481567338888
2015,0.5,891790.4443441471,18011.010590719714
2015,0.6,626338.3194364624,12619.03032232415
2015,0.7,421132.39084164746,8460.492356051735
2016,0.35,1463774.187287061,31015.68736137441
2016,0.4,1231080.9989271318,26018.17457453625
2016,0.5,876180.5428516027,18446.119641897858
2016,0.6,615387.3506746412,12919.481896841557
2016,0.7,413775.689419382,8659.677576730886
2017,0.35,1462901.0104094802,35635.322424823724
2017,0.4,1230326.2128185276,29881.342385895325
2017,0.5,875621.8056446458,21172.079876353328
2017,0.6,614984.123989006,14822.16937776362
2017,0.7,413499.07654243294,9931.648761694096
2018,0.35,1476340.2509879179,44883.05285338105
2018,0.4,1241542.49221151,37627.26240807522
2018,0.5,883512.1537988166,26651.198867161176
2018,0.6,620478.9899658263,18653.346999929665
2018,0.7,417169.62757299794,12496.35482890671
2019,0.35,1511829.539844693,56299.92155409018
2019,0.4,1271249.2936036796,47190.999982137735
2019,0.5,904504.4856096037,33417.19152291346
2019,0.6,635146.584157819,23384.88494994821
2019,0.7,426992.6149041902,15664.070180997192
2020,0.35,1616540.4885975542,77787.06425234627
2020,0.4,1359041.8298029394,65190.07485402318
2020,0.5,966696.8705679325,46150.38223554094
2020,0.6,678679.9972425043,32289.057674747422
2020,0.7,456188.0279108381,21625.150948794726
2021,0.35,1810566.7216465082,96258.94939918113
2021,0.4,1521902.607445209,80702.87535654436
2021,0.5,1082263.6050407377,57166.72112382479
2021,0.6,759673.6827447248,40013.938195457224
2021,0.7,510556.8778412877,26807.64824970415
2022,0.35,2065703.0684813776,103580.03913859269
2022,0.4,1736270.7978936308,86863.8709809811
2022,0.5,1234608.3608193097,61555.49658579642
2022,0.6,866559.0088162662,43098.33652766528
2022,0.7,582365.8587748518,28880.470881035577
2023,0.35,2361891.824690641,105053.02978043999
2023,0.4,1985290.9741227515,88115.15257550303
2023,0.5,1411749.8212657766,62459.26811229214
2023,0.6,990928.6198724239,43739.76588310239
2023,0.7,665966.0485306877,29314.73873037454
