year,Fxx,ABC,discarded
2005,0.5,933556.9306698582,38400.72198944545
2005,0.6,656623.9539200284,26939.666736199306
2005,0.7,442092.3969769391,18084.106083066832
2006,0.35,1571520.326791629,59767.17332808625
2006,0.4,1322797.9211302202,50187.89716172528
2006,0.5,942986.5434514078,35649.179067394485
2006,0.6,663310.3799299196,25010.81721327555
2006,0.7,446622.1080389986,16790.062296759636
2007,0.35,1568842.435790917,55542.09709320512
2007,0.4,1320637.0560601375,46641.18208988671
2007,0.5,941546.1197348166,33131.162124356386
2007,0.6,662348.1894858012,23244.867878486653
2007,0.7,446000.5667661208,15604.892697779967
2008,0.35,1579487.8354128117,52650.05397584886
2008,0.4,1329677.0959553856,44214.83138647719
2008,0.5,948075.7723581304,31410.008758698852
2008,0.6,666984.735022458,22038.51912342932
2008,0.7,449144.8944956844,14795.665634575691
2009,0.35,1568649.4442547017,50027.51074688081
2009,0.4,1320608.312833825,42013.77158839772
2009,0.5,941669.0453435039,29847.80821011798
2009,0.6,662507.8139253951,20943.147207605096
2009,0.7,446145.7789021916,14060.661545893905
2010,0.35,1576968.493061762,48435.82861630345
2010,0.4,1327660.5912709823,40677.67629288416
2010,0.5,946749.9319338226,28899.28353159914
2010,0.6,666109.0849658826,20277.952116832654
2010,0.7,448584.6817278314,13614.251085398064
2011,0.35,1580616.2978500219,47303.92153132215
2011,0.4,1330766.705334138,39727.317191247304
2011,0.5,949002.4977033767,28224.370418683106
2011,0.6,667713.1471341943,19804.51776591858
2011,0.7,449674.8441196458,13296.466619852032
2012,0.35,1594454.8847435112,45941.2994111389
2012,0.4,1342455.3720661015,38585.05704239765
2012,0.5,957378.307418913,27415.09987495787
2012,0.6,673626.9192176093,19237.80917027348
2012,0.7,453668.1362967972,12916.573504737738
2013,0.35,1588719.1146561827,43440.56990282799
2013,0.4,1337665.3980502444,36487.91738460074
2013,0.5,954004.4309148353,25928.442753295403
2013,0.6,671274.4809169958,18196.308197298993
2013,0.7,452094.91184578487,12218.17948237233
2014,0.35,1572320.0424612148,40638.27794921524
2014,0.4,1323906.8999699457,34134.93202996195
2014,0.5,944244.7819491231,24257.27119672069
2014,0.6,664434.1050075906,17023.945851281034
2014,0.7,447501.8743004162,11431.212994779262
2015,0.35,1558243.8840528056,39339.155961465665
2015,0.4,1312100.7495492941,33039.936284152725
2015,0.5,935873.7997264884,23475.131337580726
2015,0.6,658568.9650510863,16473.01139124342
2015,0.7,443564.679662135,11060.235792338888
2016,0.35,1539505.68116396,40335.27523398999
2016,0.4,1296347.1947697732,33866.544717921744
2016,0.5,924664.0545261409,24051.783111034714
2016,0.6,650694.4361227398,16872.25556141501
2016,0.7,438268.0650884956,11325.516438836605
2017,0.35,1543947.2017672674,46120.35377481579
2017,0.4,1300048.8887282126,38709.77069732818
2017,0.5,927263.6899825732,27476.36671926965
2017,0.6,652503.2450083205,19266.9392202432
2017,0.7,439475.82892517926,12929.00748374066
2018,0.35,1570320.751227039,56685.215459086845
2018,0.4,1322157.154491539,47565.9375429321
2018,0.5,942926.341282786,33750.609765399844
2018,0.6,663470.7676860815,23660.49942371622
2018,0.7,446834.83568128967,15874.169326287541
2019,0.35,1620871.2185617671,68721.55828265562
2019,0.4,1364573.6225240391,57655.31550609293
2019,0.5,973020.8891607968,40898.269054880344
2019,0.6,684566.8407018547,28665.556587342515
2019,0.7,461001.74999835686,19229.187282818202
