year,Project_cde,trip_no,Adfg,Vessel,date,julian_day,Stat,Spp_cde,set,no_hooks,hooks_bare,hooks_bait,hook_invalid,hooks_sablefish,discard_status_cde,discard_status
2005,603,1,33468,MASONIC,2005-07-31,212,345631,710,11,45,6,24,0,13,01,Retained
2005,603,1,33468,MASONIC,2005-08-01,213,345631,710,12,42,1,24,0,17,01,Retained
2010,603,2,26017,IDA JUNE,2010-08-05,217,345631,710,13,46,5,24,1,6,01,Retained
2005,603,1,33468,MASONIC,2005-08-01,213,345631,710,13,43,13,13,0,13,01,Retained
2011,603,3,60168,SEAVIEW,2011-07-25,206,345731,710,1,43,14,10,0,18,01,Retained
2005,603,1,33468,MASONIC,2005-08-01,213,345631,710,13,45,11,13,0,18,01,Retained
2005,603,1,33468,MASONIC,2005-08-01,213,345631,710,13,41,10,12,0,17,01,Retained
2011,603,3,60168,SEAVIEW,2011-07-29,210,345701,710,13,45,5,23,1,14,01,Retained
2005,603,1,33468,MASONIC,2005-08-01,213,345631,710,13,46,7,16,1,18,01,Retained
2011,603,3,60168,SEAVIEW,2011-07-25,206,345731,710,1,45,8,21,0,10,01,Retained
2005,603,1,33468,MASONIC,2005-08-01,213,345631,710,14,43,9,19,0,12,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-06,218,345731,710,5,45,2,33,0,9,01,Retained
2015,603,2,14796,MAGIA,2015-07-29,210,345701,710,15,45,3,30,2,5,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-06,218,345731,710,5,44,1,33,0,8,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-06,218,345731,710,5,45,10,26,1,6,01,Retained
2005,603,1,33468,MASONIC,2005-07-31,212,345631,710,9,45,9,21,0,14,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-06,218,345731,710,6,44,5,22,0,15,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-06,218,345731,710,6,45,5,24,0,15,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-06,218,345731,710,6,45,7,18,4,13,01,Retained
2016,603,2,58282,Marilyn J,2016-07-30,212,345701,710,13,45,12,15,1,12,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-06,218,345731,710,6,44,7,24,0,11,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-07,219,345731,710,7,45,4,25,2,12,01,Retained
2016,603,2,58282,Marilyn J,2016-07-30,212,345701,710,11,43,13,14,1,9,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-07,219,345731,710,7,45,10,21,0,10,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-07,219,345731,710,7,45,6,24,0,14,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-07,219,345731,710,7,45,9,19,0,17,01,Retained
2e3,603,3,26017,IDA-JUNE,2000-08-17,230,345731,710,3,45,18,13,0,8,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-07,219,345731,710,8,44,4,13,5,19,01,Retained
2008,603,2,18613,CHARLES T,2008-08-11,224,345701,710,15,45,5,24,0,14,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-07,219,345731,710,8,44,3,19,1,15,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-07,219,345731,710,8,45,5,29,0,10,01,Retained
2016,603,2,58282,Marilyn J,2016-07-31,213,345701,710,14,45,5,30,0,7,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-08,220,345731,710,9,46,5,23,0,15,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-08,220,345731,710,9,44,2,31,0,9,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-08,220,345731,710,9,42,3,25,0,13,01,Retained
2005,603,2,18613,CHARLES T,2005-07-31,212,345701,710,10,45,5,25,1,12,01,Retained
2005,603,2,18613,CHARLES T,2005-07-31,212,345701,710,10,44,6,16,0,21,01,Retained
2005,603,2,18613,CHARLES T,2005-07-31,212,345701,710,11,45,20,10,0,11,01,Retained
2016,603,2,58282,Marilyn J,2016-07-29,211,345701,710,8,44,11,9,0,10,01,Retained
2005,603,2,18613,CHARLES T,2005-07-31,212,345701,710,11,45,8,15,2,15,01,Retained
2005,603,2,18613,CHARLES T,2005-07-31,212,345701,710,12,45,17,17,0,8,01,Retained
2005,603,2,18613,CHARLES T,2005-08-01,213,345701,710,13,45,11,22,0,10,01,Retained
2005,603,2,18613,CHARLES T,2005-08-01,213,345701,710,13,45,6,27,0,8,01,Retained
2013,603,1,58282,COBRA,2013-08-02,214,345631,710,7,44,7,30,0,4,01,Retained
2006,603,3,60168,SEA VIEW,2006-08-05,217,345731,710,11,44,7,19,1,15,01,Retained
2013,603,1,58282,COBRA,2013-08-02,214,345631,710,7,45,10,15,0,14,01,Retained
2013,603,1,58282,COBRA,2013-08-02,214,345631,710,7,44,9,9,4,19,01,Retained
2006,603,3,60168,SEA VIEW,2006-08-05,217,345731,710,11,48,6,15,13,10,01,Retained
2012,603,1,33468,MASONIC,2012-07-27,209,345631,710,6,45,8,21,0,11,01,Retained
2012,603,3,57935,KAIA,2012-07-29,211,345731,710,12,45,8,26,3,7,01,Retained
2012,603,1,33468,MASONIC,2012-07-27,209,345631,710,6,45,15,10,0,14,01,Retained
2012,603,1,33468,MASONIC,2012-07-27,209,345631,710,6,43,17,6,0,11,01,Retained
2012,603,3,57935,KAIA,2012-07-29,211,345731,710,12,43,4,14,1,17,01,Retained
2012,603,1,33468,MASONIC,2012-07-27,209,345631,710,7,45,9,12,0,18,01,Retained
2012,603,1,33468,MASONIC,2012-07-27,209,345631,710,7,46,4,12,4,21,01,Retained
2012,603,3,57935,KAIA,2012-07-29,211,345701,710,13,43,3,18,2,18,01,Retained
2012,603,1,33468,MASONIC,2012-07-28,210,345603,710,8,45,18,2,0,21,01,Retained
2012,603,3,57935,KAIA,2012-07-29,211,345701,710,13,44,13,15,1,13,01,Retained
2012,603,1,33468,MASONIC,2012-07-28,210,345603,710,8,45,13,3,0,25,01,Retained
2007,603,2,18613,CHARLES T,2007-08-07,219,345701,710,6,43,10,9,0,17,01,Retained
2012,603,1,33468,MASONIC,2012-07-28,210,345603,710,8,45,14,11,0,15,01,Retained
2005,603,3,60168,SEA VIEW,2005-08-01,213,345701,710,14,45,9,23,2,8,01,Retained
2012,603,1,33468,MASONIC,2012-07-28,210,345603,710,8,45,4,7,0,26,01,Retained
2014,603,3,57935,KAIA,2014-08-04,216,345731,710,10,48,5,20,0,14,01,Retained
2012,603,1,33468,MASONIC,2012-07-28,210,345603,710,8,45,16,5,0,20,01,Retained
2014,603,3,57935,KAIA,2014-08-04,216,345731,710,10,46,11,23,0,10,01,Retained
2012,603,1,33468,MASONIC,2012-07-28,210,345603,710,8,46,14,3,0,23,01,Retained
2014,603,3,57935,KAIA,2014-08-04,216,345731,710,10,48,6,24,1,13,01,Retained
2012,603,1,33468,MASONIC,2012-07-28,210,345603,710,9,45,14,2,0,26,01,Retained
2012,603,1,33468,MASONIC,2012-07-28,210,345603,710,9,46,14,15,0,15,01,Retained
2012,603,1,33468,MASONIC,2012-07-28,210,345603,710,9,45,11,7,0,25,01,Retained
2007,603,2,18613,CHARLES T,2007-08-08,220,345701,710,8,46,25,7,1,11,01,Retained
2012,603,1,33468,MASONIC,2012-07-28,210,345603,710,10,44,9,0,17,8,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-29,211,345701,710,13,45,5,16,2,12,01,Retained
2014,603,3,57935,KAIA,2014-08-05,217,345701,710,13,46,9,10,0,17,01,Retained
2015,603,1,33468,MASONIC,2015-07-28,209,345603,710,12,45,10,23,0,10,01,Retained
2007,603,2,18613,CHARLES T,2007-08-08,220,345701,710,8,45,19,7,0,16,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-29,211,345701,710,14,43,6,17,0,15,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-29,211,345701,710,14,45,5,17,0,21,01,Retained
2013,603,3,57935,KAIA,2013-07-31,212,345731,710,7,45,4,17,2,16,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-29,211,345701,710,14,45,5,23,0,14,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-29,211,345701,710,14,45,12,8,0,16,01,Retained
2016,603,2,58282,Marilyn J,2016-07-29,211,345701,710,10,45,6,16,4,13,01,Retained
2013,603,1,58282,COBRA,2013-08-04,216,345603,710,12,43,10,19,0,8,01,Retained
2016,603,2,58282,Marilyn J,2016-07-30,212,345701,710,13,45,11,16,1,10,01,Retained
2013,603,1,58282,COBRA,2013-08-01,213,345631,710,6,45,0,2,27,11,01,Retained
2013,603,1,58282,COBRA,2013-08-01,213,345631,710,6,44,15,8,0,16,01,Retained
2004,603,1,33468,MASONIC,2004-08-09,222,345631,710,12,45,5,33,0,7,01,Retained
2015,603,3,57935,KAIA,2015-07-28,209,345731,710,12,47,4,23,0,14,01,Retained
2016,603,2,58282,Marilyn J,2016-07-30,212,345701,710,11,45,11,13,0,6,01,Retained
2015,603,3,57935,KAIA,2015-07-28,209,345701,710,13,45,3,18,1,20,01,Retained
2015,603,3,57935,KAIA,2015-07-28,209,345701,710,13,43,6,18,0,15,01,Retained
2004,603,1,33468,MASONIC,2004-08-09,222,345631,710,13,45,5,27,0,11,01,Retained
2015,603,3,57935,KAIA,2015-07-28,209,345701,710,13,45,11,11,3,12,01,Retained
2013,603,3,57935,KAIA,2013-07-31,212,345731,710,8,43,4,20,0,11,01,Retained
2015,603,3,57935,KAIA,2015-07-28,209,345701,710,13,45,3,25,2,10,01,Retained
2013,603,3,57935,KAIA,2013-07-31,212,345731,710,9,45,16,11,2,11,01,Retained
2015,603,3,57935,KAIA,2015-07-28,209,345701,710,14,40,2,18,0,14,01,Retained
2015,603,3,57935,KAIA,2015-07-28,209,345701,710,14,46,5,24,0,11,01,Retained
2004,603,1,33468,MASONIC,2004-08-09,222,345631,710,14,45,0,0,27,18,01,Retained
2013,603,3,57935,KAIA,2013-07-31,212,345731,710,9,45,6,23,0,14,01,Retained
2015,603,3,57935,KAIA,2015-07-28,209,345701,710,14,46,2,24,2,11,01,Retained
2015,603,3,57935,KAIA,2015-07-28,209,345701,710,14,46,5,17,0,13,01,Retained
2015,603,3,57935,KAIA,2015-07-28,209,345701,710,14,41,6,23,0,9,01,Retained
2013,603,3,57935,KAIA,2013-08-01,213,345731,710,10,45,9,13,0,21,01,Retained
2015,603,3,57935,KAIA,2015-07-29,210,345701,710,15,47,2,21,2,16,01,Retained
2013,603,3,57935,KAIA,2013-08-01,213,345731,710,10,45,3,29,0,9,01,Retained
2015,603,3,57935,KAIA,2015-07-29,210,345701,710,15,43,11,13,2,14,01,Retained
2008,603,3,60168,SEA VIEW,2008-08-11,224,345701,710,14,44,4,17,0,19,01,Retained
1997,603,2,18613,CHARLES T,1997-08-09,221,345701,710,7,79,36,10,0,24,01,Retained
2013,603,2,33468,MASONIC,2013-07-29,210,345701,710,1,43,1,24,0,12,01,Retained
2004,603,3,NA,ARCHANGEL,2004-08-09,222,345731,710,13,45,11,15,0,17,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-29,211,345701,710,14,45,8,11,0,15,01,Retained
2009,603,3,60168,SEA VIEW,2009-07-30,211,345731,710,6,45,1,37,0,7,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-29,211,345701,710,14,45,6,19,0,16,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-30,212,345701,710,15,43,7,25,0,4,01,Retained
2013,603,1,58282,COBRA,2013-08-05,217,345603,710,14,46,20,6,5,11,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-30,212,345701,710,15,46,4,33,0,2,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-30,212,345701,710,15,45,14,24,1,5,01,Retained
2011,603,2,57935,KAIA,2011-07-27,208,345701,710,8,45,6,10,12,15,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-28,210,345701,710,8,45,6,18,0,14,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-28,210,345701,710,9,45,14,11,0,18,01,Retained
2014,603,3,57935,KAIA,2014-08-05,217,345701,710,13,48,9,20,0,15,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-28,210,345701,710,9,44,4,14,0,21,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-28,210,345701,710,9,45,9,8,0,26,01,Retained
2014,603,3,57935,KAIA,2014-08-05,217,345701,710,13,47,2,27,0,9,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-28,210,345701,710,9,44,14,3,0,21,01,Retained
2010,603,1,33468,MASONIC,2010-08-05,217,345603,710,12,45,13,19,0,4,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-28,210,345701,710,10,45,5,8,0,27,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-28,210,345701,710,10,44,10,6,1,21,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-28,210,345701,710,10,45,3,20,0,19,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-28,210,345701,710,10,45,8,14,1,18,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-28,210,345701,710,11,45,0,44,0,1,01,Retained
2014,603,2,14796,MAGIA,2014-08-04,216,345701,710,10,46,7,27,0,8,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-29,211,345701,710,12,46,4,19,0,12,01,Retained
2007,603,3,60168,SEA VIEW,2007-08-08,220,345731,710,10,45,6,26,0,12,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-29,211,345701,710,12,44,1,13,0,13,01,Retained
2009,603,3,60168,SEA VIEW,2009-08-01,213,345731,710,11,44,2,26,1,11,01,Retained
2008,603,3,60168,SEA VIEW,2008-08-09,222,345731,710,9,45,2,32,0,8,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-29,211,345701,710,12,45,7,13,1,15,01,Retained
2004,603,2,18613,CHARLES T,2004-08-07,220,345701,710,7,45,23,14,3,3,01,Retained
2009,603,3,60168,SEA VIEW,2009-08-01,213,345731,710,12,42,5,25,2,7,01,Retained
2015,603,1,33468,MASONIC,2015-07-26,207,345631,710,7,45,8,23,0,11,01,Retained
2015,603,1,33468,MASONIC,2015-07-26,207,345631,710,7,44,12,20,0,8,01,Retained
2010,603,2,26017,IDA JUNE,2010-08-04,216,345631,710,11,45,22,6,1,12,01,Retained
2015,603,1,33468,MASONIC,2015-07-26,207,345603,710,8,47,12,15,9,7,01,Retained
2015,603,1,33468,MASONIC,2015-07-26,207,345603,710,8,41,10,19,0,8,01,Retained
1999,603,2,26017,IDA JUNE,1999-08-18,230,345731,710,6,79,32,27,0,16,01,Retained
2015,603,1,33468,MASONIC,2015-07-26,207,345603,710,8,45,3,27,0,13,01,Retained
2015,603,1,33468,MASONIC,2015-07-27,208,345603,710,9,44,5,27,0,6,01,Retained
1999,603,2,26017,IDA JUNE,1999-08-18,230,345731,710,6,77,33,21,0,20,01,Retained
2016,603,1,33468,Masonic,2016-07-28,210,345631,710,7,45,4,24,1,9,01,Retained
2015,603,1,33468,MASONIC,2015-07-27,208,345603,710,10,45,9,16,0,14,01,Retained
2016,603,1,33468,Masonic,2016-07-28,210,345631,710,6,45,19,16,0,7,01,Retained
2015,603,1,33468,MASONIC,2015-07-27,208,345603,710,10,45,4,16,0,18,01,Retained
2015,603,1,33468,MASONIC,2015-07-27,208,345603,710,10,45,12,13,0,16,01,Retained
2015,603,1,33468,MASONIC,2015-07-27,208,345603,710,10,42,7,13,0,15,01,Retained
2015,603,1,33468,MASONIC,2015-07-27,208,345603,710,10,44,4,27,0,9,01,Retained
2015,603,1,33468,MASONIC,2015-07-27,208,345603,710,10,45,13,15,0,10,01,Retained
2014,603,2,14796,MAGIA,2014-08-01,213,345631,710,1,47,10,13,2,18,01,Retained
2013,603,2,33468,MASONIC,2013-07-30,211,345701,710,2,45,4,24,2,7,01,Retained
2016,603,1,33468,Masonic,2016-07-30,212,345603,710,14,45,10,16,0,12,01,Retained
2013,603,2,33468,MASONIC,2013-07-30,211,345701,710,2,42,0,18,9,5,01,Retained
2008,603,3,60168,SEA VIEW,2008-08-08,221,345731,710,3,44,3,21,3,13,01,Retained
2013,603,2,33468,MASONIC,2013-07-30,211,345701,710,3,43,2,20,0,14,01,Retained
2013,603,2,33468,MASONIC,2013-07-30,211,345701,710,3,42,8,16,0,13,01,Retained
2016,603,1,33468,Masonic,2016-07-28,210,345631,710,5,43,27,1,0,10,01,Retained
2013,603,2,33468,MASONIC,2013-07-30,211,345701,710,3,44,5,18,0,12,01,Retained
2013,603,2,33468,MASONIC,2013-07-30,211,345701,710,3,45,1,10,18,10,01,Retained
2013,603,2,33468,MASONIC,2013-07-30,211,345701,710,3,47,20,10,0,13,01,Retained
2005,603,2,18613,CHARLES T,2005-07-30,211,345701,710,8,44,15,8,2,16,01,Retained
2013,603,2,33468,MASONIC,2013-07-31,212,345701,710,4,45,7,10,1,16,01,Retained
2014,603,2,14796,MAGIA,2014-08-06,218,345701,710,15,46,5,20,2,14,01,Retained
2014,603,3,57935,KAIA,2014-08-06,218,345701,710,15,50,3,25,4,14,01,Retained
2014,603,3,57935,KAIA,2014-08-06,218,345701,710,15,44,3,15,2,17,01,Retained
2014,603,2,14796,MAGIA,2014-08-06,218,345701,710,15,48,4,15,9,14,01,Retained
2013,603,3,57935,KAIA,2013-08-01,213,345731,710,11,43,6,18,1,18,01,Retained
2014,603,1,33468,MASONIC,2014-08-01,213,345631,710,1,45,24,7,0,10,01,Retained
2006,603,2,18613,CHARLES T,2006-08-05,217,345701,710,11,44,15,8,0,13,01,Retained
2014,603,1,33468,MASONIC,2014-08-01,213,345631,710,1,45,13,13,0,14,01,Retained
2013,603,3,57935,KAIA,2013-08-01,213,345731,710,12,45,6,21,0,11,01,Retained
2014,603,1,33468,MASONIC,2014-08-01,213,345631,710,1,44,14,10,0,17,01,Retained
2013,603,2,33468,MASONIC,2013-07-31,212,345701,710,6,36,4,20,4,6,01,Retained
2014,603,1,33468,MASONIC,2014-08-01,213,345631,710,1,45,12,14,0,16,01,Retained
2007,603,1,33468,MASONIC,2007-08-08,220,345631,710,11,46,12,5,7,20,01,Retained
2013,603,3,57935,KAIA,2013-08-01,213,345731,710,12,45,2,19,0,18,01,Retained
2014,603,1,33468,MASONIC,2014-08-01,213,345631,710,1,44,11,7,0,23,01,Retained
2007,603,1,33468,MASONIC,2007-08-09,221,345631,710,12,45,15,19,0,9,01,Retained
2014,603,1,33468,MASONIC,2014-08-01,213,345631,710,2,45,16,2,0,25,01,Retained
2014,603,1,33468,MASONIC,2014-08-01,213,345631,710,2,43,24,3,0,12,01,Retained
2009,603,1,50842,SHERRIE MARIE,2009-07-30,211,345603,710,4,46,8,22,0,15,01,Retained
2014,603,1,33468,MASONIC,2014-08-01,213,345631,710,2,44,29,1,0,14,01,Retained
2014,603,1,33468,MASONIC,2014-08-02,214,345631,710,4,46,4,21,6,12,01,Retained
2012,603,2,26017,IDA JUNE,2012-07-29,211,345701,710,13,45,4,21,0,13,01,Retained
2013,603,1,58282,COBRA,2013-08-03,215,345603,710,8,44,9,18,0,15,01,Retained
2013,603,1,58282,COBRA,2013-08-03,215,345603,710,8,45,21,9,2,8,01,Retained
2013,603,1,58282,COBRA,2013-08-03,215,345603,710,8,44,10,14,0,16,01,Retained
2013,603,1,58282,COBRA,2013-08-03,215,345603,710,9,40,9,22,0,7,01,Retained
2013,603,1,58282,COBRA,2013-08-03,215,345603,710,9,45,2,22,11,8,01,Retained
2016,603,1,33468,Masonic,2016-07-27,209,345631,710,3,44,13,19,0,8,01,Retained
2013,603,1,58282,COBRA,2013-08-03,215,345603,710,9,46,14,14,8,8,01,Retained
2013,603,1,58282,COBRA,2013-08-03,215,345603,710,9,47,7,25,1,10,01,Retained
2013,603,1,58282,COBRA,2013-08-03,215,345603,710,9,65,10,29,8,11,01,Retained
2013,603,1,58282,COBRA,2013-08-04,216,345603,710,11,41,23,6,1,9,01,Retained
2016,603,1,33468,Masonic,2016-07-30,212,345603,710,13,45,14,7,0,19,01,Retained
2013,603,1,58282,COBRA,2013-08-04,216,345603,710,11,45,22,13,0,8,01,Retained
2009,603,3,60168,SEA VIEW,2009-08-02,214,345701,710,14,41,10,11,1,14,01,Retained
2013,603,1,58282,COBRA,2013-08-04,216,345603,710,11,45,13,14,1,13,01,Retained
2015,603,3,57935,KAIA,2015-07-26,207,345731,710,8,45,1,24,2,15,01,Retained
2016,603,1,33468,Masonic,2016-07-30,212,345603,710,13,44,13,11,2,11,01,Retained
2015,603,3,57935,KAIA,2015-07-26,207,345731,710,8,46,5,18,4,10,01,Retained
2015,603,3,57935,KAIA,2015-07-26,207,345731,710,9,46,3,31,0,10,01,Retained
2016,603,1,33468,Masonic,2016-07-26,208,345631,710,1,45,8,19,0,13,01,Retained
2015,603,3,57935,KAIA,2015-07-27,208,345731,710,10,44,1,30,0,10,01,Retained
2016,603,1,33468,Masonic,2016-07-27,209,345631,710,3,43,20,9,0,8,01,Retained
2015,603,2,14796,MAGIA,2015-07-25,206,345631,710,4,45,9,18,0,13,01,Retained
2011,603,3,60168,SEAVIEW,2011-07-26,207,345731,710,6,45,5,16,1,20,01,Retained
2015,603,2,14796,MAGIA,2015-07-25,206,345701,710,5,43,14,10,5,9,01,Retained
2015,603,2,14796,MAGIA,2015-07-25,206,345701,710,5,44,14,16,6,5,01,Retained
2016,603,1,33468,Masonic,2016-07-29,211,345603,710,8,45,10,22,0,11,01,Retained
2015,603,2,14796,MAGIA,2015-07-25,206,345701,710,5,42,19,9,0,11,01,Retained
2016,603,1,33468,Masonic,2016-07-29,211,345603,710,10,45,5,23,0,7,01,Retained
2015,603,2,14796,MAGIA,2015-07-25,206,345701,710,5,45,4,16,0,18,01,Retained
2014,603,2,14796,MAGIA,2014-08-01,213,345631,710,2,46,25,1,2,17,01,Retained
2014,603,2,14796,MAGIA,2014-08-01,213,345631,710,2,45,17,2,0,24,01,Retained
2014,603,2,14796,MAGIA,2014-08-01,213,345631,710,2,45,27,0,13,5,01,Retained
2015,603,1,33468,MASONIC,2015-07-24,205,345631,710,1,45,17,10,0,16,01,Retained
2014,603,2,14796,MAGIA,2014-08-01,213,345631,710,2,45,17,5,4,15,01,Retained
2014,603,2,14796,MAGIA,2014-08-01,213,345631,710,2,45,20,6,7,11,01,Retained
2015,603,3,57935,KAIA,2015-07-27,208,345731,710,10,44,7,27,0,7,01,Retained
2014,603,2,14796,MAGIA,2014-08-02,214,345631,710,3,44,11,16,0,5,01,Retained
2015,603,3,57935,KAIA,2015-07-27,208,345731,710,11,42,5,20,1,15,01,Retained
2014,603,2,14796,MAGIA,2014-08-02,214,345631,710,3,48,11,8,4,12,01,Retained
2014,603,2,14796,MAGIA,2014-08-02,214,345631,710,4,44,16,17,1,10,01,Retained
2014,603,2,14796,MAGIA,2014-08-02,214,345631,710,4,45,12,8,2,16,01,Retained
2014,603,2,14796,MAGIA,2014-08-02,214,345631,710,4,44,6,12,9,14,01,Retained
2005,603,3,60168,SEA VIEW,2005-07-31,212,345731,710,10,45,7,10,3,23,01,Retained
2014,603,2,14796,MAGIA,2014-08-02,214,345631,710,4,45,9,10,0,22,01,Retained
2014,603,2,14796,MAGIA,2014-08-03,215,345631,710,5,45,7,5,4,23,01,Retained
2005,603,3,60168,SEA VIEW,2005-07-31,212,345731,710,11,46,1,32,0,12,01,Retained
2015,603,1,33468,MASONIC,2015-07-24,205,345631,710,2,43,11,2,0,22,01,Retained
2014,603,1,33468,MASONIC,2014-08-02,214,345631,710,4,46,6,15,0,17,01,Retained
2014,603,1,33468,MASONIC,2014-08-03,215,345631,710,5,44,16,3,0,20,01,Retained
2006,603,3,60168,SEA VIEW,2006-08-06,218,345701,710,14,43,35,5,0,2,01,Retained
2015,603,3,57935,KAIA,2015-07-24,205,345731,710,1,45,7,16,2,13,01,Retained
2015,603,3,57935,KAIA,2015-07-24,205,345731,710,1,47,5,22,5,7,01,Retained
2015,603,1,33468,MASONIC,2015-07-25,206,345631,710,4,41,15,13,0,6,01,Retained
2015,603,3,57935,KAIA,2015-07-24,205,345731,710,1,41,0,23,0,9,01,Retained
2015,603,3,57935,KAIA,2015-07-24,205,345731,710,1,46,6,19,1,10,01,Retained
2015,603,3,57935,KAIA,2015-07-24,205,345731,710,1,45,7,12,0,20,01,Retained
2015,603,3,57935,KAIA,2015-07-24,205,345731,710,1,43,9,2,0,29,01,Retained
2006,603,3,60168,SEA VIEW,2006-08-07,219,345701,710,15,45,5,24,0,13,01,Retained
2015,603,3,57935,KAIA,2015-07-24,205,345731,710,2,37,1,22,4,4,01,Retained
2015,603,3,57935,KAIA,2015-07-25,206,345731,710,3,44,10,9,10,15,01,Retained
2015,603,3,57935,KAIA,2015-07-25,206,345731,710,3,43,3,22,0,13,01,Retained
2015,603,3,57935,KAIA,2015-07-25,206,345731,710,3,45,7,19,4,12,01,Retained
2015,603,3,57935,KAIA,2015-07-25,206,345731,710,3,45,9,17,5,7,01,Retained
2015,603,3,57935,KAIA,2015-07-29,210,345701,710,15,46,10,13,0,20,01,Retained
2012,603,1,33468,MASONIC,2012-07-29,211,345603,710,13,44,6,20,0,13,01,Retained
2017,603,2,57935,Kaia,2017-08-04,216,345701,710,12,45,13,4,0,18,01,Retained
2007,603,1,33468,MASONIC,2007-08-05,217,345603,710,2,46,14,8,1,20,01,Retained
2013,603,1,58282,COBRA,2013-08-05,217,345603,710,13,44,8,13,0,16,01,Retained
2017,603,2,57935,Kaia,2017-08-04,216,345701,710,12,45,11,8,2,18,01,Retained
2015,603,2,14796,MAGIA,2015-07-25,206,345701,710,5,45,7,13,6,15,01,Retained
2012,603,1,33468,MASONIC,2012-07-30,212,345603,710,14,46,6,20,0,15,01,Retained
2015,603,2,14796,MAGIA,2015-07-26,207,345631,710,6,45,9,11,1,15,01,Retained
2014,603,2,14796,MAGIA,2014-08-05,217,345701,710,12,43,4,11,12,11,01,Retained
2015,603,2,14796,MAGIA,2015-07-26,207,345631,710,6,46,15,10,0,15,01,Retained
2014,603,2,14796,MAGIA,2014-08-05,217,345701,710,13,45,10,9,1,17,01,Retained
2015,603,2,14796,MAGIA,2015-07-26,207,345701,710,7,42,16,6,3,10,01,Retained
2015,603,2,14796,MAGIA,2015-07-26,207,345701,710,7,44,19,12,0,12,01,Retained
2015,603,2,14796,MAGIA,2015-07-26,207,345701,710,7,46,21,5,13,6,01,Retained
2015,603,2,14796,MAGIA,2015-07-26,207,345701,710,7,45,6,22,0,9,01,Retained
2014,603,2,14796,MAGIA,2014-08-05,217,345701,710,13,46,9,17,0,7,01,Retained
2015,603,2,14796,MAGIA,2015-07-26,207,345701,710,7,43,17,12,0,6,01,Retained
2015,603,2,14796,MAGIA,2015-07-27,208,345701,710,8,45,8,21,0,9,01,Retained
2014,603,2,14796,MAGIA,2014-08-05,217,345701,710,13,44,7,9,4,17,01,Retained
2015,603,2,14796,MAGIA,2015-07-27,208,345701,710,8,44,9,19,1,12,01,Retained
2007,603,1,33468,MASONIC,2007-08-09,221,345631,710,14,46,14,3,14,13,01,Retained
2013,603,2,33468,MASONIC,2013-08-01,213,345701,710,9,41,8,13,5,10,01,Retained
2013,603,2,33468,MASONIC,2013-08-01,213,345701,710,9,44,7,26,0,9,01,Retained
2013,603,2,33468,MASONIC,2013-08-01,213,345701,710,9,43,4,32,0,6,01,Retained
2013,603,2,33468,MASONIC,2013-08-02,214,345701,710,10,44,8,19,0,10,01,Retained
2009,603,2,26017,IDA-JUNE,2009-07-30,211,345701,710,3,46,11,15,3,13,01,Retained
2014,603,2,14796,MAGIA,2014-08-06,218,345701,710,14,45,6,21,0,10,01,Retained
2015,603,2,14796,MAGIA,2015-07-27,208,345701,710,9,43,3,16,0,15,01,Retained
2015,603,2,14796,MAGIA,2015-07-27,208,345701,710,9,45,3,28,2,7,01,Retained
2015,603,2,14796,MAGIA,2015-07-27,208,345701,710,9,42,1,29,1,4,01,Retained
