year,Fxx,ABC,discarded
2013,0.7,497049.41962072224,11357.76249468687
2014,0.35,1708664.9737984864,37417.19258413251
2014,0.4,1437961.0666354487,31412.072981617017
2014,0.5,1024604.7045610733,22300.041728999633
2014,0.6,720367.2620327508,15636.691197796714
2014,0.7,484796.29993326607,10491.40586480016
2015,0.35,1670657.2190359584,35589.32025238204
2015,0.4,1406020.416386502,29873.18029664674
2015,0.5,1001894.415070813,21202.922368995816
2015,0.6,704425.1317280235,14865.066859200548
2015,0.7,474080.21975734754,9972.496390613509
2016,0.35,1624949.758054792,36691.11373839192
2016,0.4,1367576.5890959965,30785.842973994615
2016,0.5,974525.5833552459,21837.765244845214
2016,0.6,685195.2347831224,15303.605592118127
2016,0.7,461145.1352353383,10263.343879490729
2017,0.35,1610859.2540743034,42988.234934947795
2017,0.4,1355675.950322712,36051.669986982524
2017,0.5,966000.9064203812,25554.072204018852
2017,0.6,679179.1654132487,17898.312521936867
2017,0.7,457084.8590879854,11998.530396728422
2018,0.35,1618528.6210755315,54903.7222640433
2018,0.4,1361997.11109772,46033.469995784675
2018,0.5,970362.6651022884,32617.609430639353
2018,0.6,682173.4722453495,22839.71789640868
2018,0.7,459062.8119975224,15308.044189466493
2019,0.35,1657866.6395723019,70014.27731701227
2019,0.4,1394892.2595618416,58691.865133962914
2019,0.5,993576.7267099501,41575.29514106342
2019,0.6,698380.2100414351,29106.265566514816
2019,0.7,469910.92619875836,19505.114244566394
2020,0.35,1786170.0689897954,97196.15161194112
2020,0.4,1502476.6825008795,81466.01410750164
2020,0.5,1069816.6461626266,57694.829850230446
2020,0.6,751769.8945987348,40384.72172540857
2020,0.7,505732.4147396009,27059.7836014364
2021,0.35,2024784.1911632793,120595.59788652211
2021,0.4,1702839.979012726,101123.936466039
2021,0.5,1212104.8464231275,71664.91237746974
2021,0.6,851564.7039733938,50187.727257717816
2021,0.7,572767.4906116863,33640.76390831693
2022,0.35,2337674.8934619348,130317.72988204524
2022,0.4,1965869.399669838,109310.15055186333
2022,0.5,1399212.903600526,77502.43290412356
2022,0.6,982956.0170837468,54294.12266472835
2022,0.7,661110.2136889827,36402.69291624073
2023,0.35,2698704.5093774283,132850.19370213314
2023,0.4,2269593.0982523067,111456.39698453942
2023,0.5,1615512.085947497,79047.61930450595
2023,0.6,1134969.8175039762,55388.50273978607
2023,0.7,763382.571475961,37142.56208388725
