year,Fxx,ABC,discarded
2010,0.5,1361824.4000901373,33269.067122009576
2010,0.6,956373.3992274608,23304.810624167585
2010,0.7,642777.2477855223,15617.332830026175
2011,0.35,2225298.1544766803,56718.69374659042
2011,0.4,1871570.6847613417,47578.16542731691
2011,0.5,1332038.0130620638,33729.73459054431
2011,0.6,935455.0329989295,23620.38801661635
2011,0.7,628718.0164023825,15825.172470759664
2012,0.35,2205395.7681094785,59077.33984537274
2012,0.4,1854779.033493396,49557.511376110815
2012,0.5,1320030.7520698938,35133.725057766096
2012,0.6,926994.2030775468,24603.919360397475
2012,0.7,623016.9429862695,16484.273978581514
2013,0.35,2179239.3626397746,56703.83538843614
2013,0.4,1832769.5759920734,47581.06815628483
2013,0.5,1304354.2503791086,33747.997407638926
2013,0.6,915978.7969039499,23641.305289590877
2013,0.7,615610.2457309146,15843.326855430112
2014,0.35,2145358.417505143,51159.047280442406
2014,0.4,1804331.770477723,42936.89340209315
2014,0.5,1284175.5226293155,30463.13240524196
2014,0.6,901838.6364165874,21344.814066969582
2014,0.7,606122.4215412337,14306.70840032886
2015,0.35,2105729.1106252116,47534.38988003056
2015,0.4,1771073.770537841,39889.87348092848
2015,0.5,1260581.947142941,28296.15599831527
2015,0.6,885308.5354940322,19823.886838082606
2015,0.7,595032.6163308722,13285.9735269714
2016,0.35,2053631.7231671184,48393.77295785046
2016,0.4,1727281.5015782253,40594.460416420196
2016,0.5,1229439.8290012125,28778.378284736853
2016,0.6,863451.5161486417,20152.86260449134
2016,0.7,580349.418582838,13501.922117922166
2017,0.35,2043949.2125425295,55435.47090183556
2017,0.4,1719094.458136542,46474.96404152539
2017,0.5,1223567.1047488372,32919.22407567319
2017,0.6,859304.4048832613,23038.45557436134
2017,0.7,577550.5726345237,15427.947377620107
2018,0.35,2057942.8233412406,68689.51718474578
2018,0.4,1730677.22897345,57579.5922025824
2018,0.5,1231612.0115869485,40777.27767891416
2018,0.6,864853.3913060905,28534.006462967005
2018,0.7,581228.385208107,19106.087011500622
2019,0.35,2106112.054315519,85043.00707934899
2019,0.4,1770975.1527014547,71279.29418497688
2019,0.5,1260063.8702021856,50470.01131671351
2019,0.6,884718.1004339604,35311.866280573224
2019,0.7,594519.7275782783,23642.097714440155
2020,0.35,2238216.7384614954,112128.87731282788
2020,0.4,1881722.8803610767,93961.06109802528
2020,0.5,1338504.2481347048,66508.3134330118
2020,0.6,939611.7617364601,46522.20263903539
2020,0.7,631314.836516168,31142.010303903447
2021,0.35,2471298.8864410245,134770.15739027946
2021,0.4,2077341.0724363504,112987.1853980618
2021,0.5,1477287.799723176,80031.84768496588
2021,0.6,1036851.1957665541,56010.130605091654
2021,0.7,696553.9824453918,37507.66743080357
2022,0.35,2747029.2656803695,137300.49429367683
2022,0.4,2309143.5051405234,115163.34284516024
2022,0.5,1642159.5732056424,81631.59180093944
2022,0.6,1152580.9524981203,57159.239728420456
2022,0.7,774307.025348683,38292.328109472066
2023,0.35,3026185.9607417597,132790.8068899691
2023,0.4,2544051.423382796,111394.20465997212
2023,0.5,1809481.7001005556,78974.35331985344
2023,0.6,1270153.9655909035,55306.007151855796
2023,0.7,853361.9884772742,37054.623574625475
