year,catch,sigma_catch,ln_catch,upper_catch,lower_catch,fsh_cpue,sigma_fsh_cpue,ln_fsh_cpue,upper_fsh_cpue,lower_fsh_cpue,srv_cpue,sigma_srv_cpue,ln_srv_cpue,std,upper_srv_cpue,lower_srv_cpue,mr,sigma_mr,ln_mr,upper_mr,lower_mr,index
2004,1057.1272134442402,0.05,6.963310331934169,1629.852579017925,685.6558438418707,0.3297373807810075,0.16879439657920917,-1.1094587571662489,0.7150603684657452,0.15205253301564797,0.21,0.38501792844882776,-1.5606477482646683,1.1185970608691442,0.642717056976202,0.06861495197821224,NA,NA,NA,NA,NA,24
2005,978.6417043408,0.05,6.886165594277241,1508.845563210433,634.7499100154714,0.3264579456783628,0.18328893034407198,-1.1194541419968622,0.7295105030396577,0.1460908237132581,0.26,0.36692649972788516,-1.3470736479666092,1.09578688272851,0.7777992937753363,0.08691188143393448,1.7561812021121537,0.07822562594433027,0.5631416801580555,3.0072982114034628,1.025562547457756,25
2006,971.0087171317599,0.05,6.878335445729668,1497.0772124102189,629.799131888403,0.3406911701231544,0.17903671182077294,-1.0767788715188233,0.7547621395917854,0.1537841755849877,0.21,0.3900768187961015,-1.5606477482646683,1.124840244840806,0.6467422096147087,0.06818791064568401,2.2401728625106894,0.1009479865113903,0.8065530336531389,4.113932509339313,1.219848512958535,26
2007,732.8917910948801,0.05,6.596998066289026,1129.954428062846,475.3557879100477,0.38376084642253716,0.22446116780572717,-0.9577357161869013,0.9270629666169873,0.15885909862667094,0.23,0.36752689333913907,-1.4696759700589417,1.0965563659079989,0.688582870549032,0.0768244495507431,2.7189181274604812,0.10640999254456866,1.0002340539283086,5.07082420307045,1.4578529027602547,27
2008,741.57617280848,0.05,6.608777884297081,1143.3437928933768,480.98850362898463,0.42395661139184193,0.22645167763770502,-0.8581241606094313,1.0277871150467397,0.1748798031338226,0.22,0.42973862250923295,-1.5141277326297755,1.1718958604201795,0.7101835137957296,0.06815139898322296,1.7790449017280594,0.09266424298227899,0.576076648234801,3.1884912884620946,0.9926327143553764,28
2009,540.78362694568,0.05,6.293019248652243,833.7668143045815,350.7538632566528,0.3556312026173511,0.1964723783944306,-1.0338610327988762,0.8156723747652184,0.1550543529336363,0.22,0.34337407208597504,-1.5141277326297755,1.0648851781728714,0.6381113031807696,0.07584883665081987,2.456764445475069,0.09772261186883704,0.8988452181556267,4.469730857100026,1.35034786959553,29
2010,512.92681404016,0.05,6.240133172303733,790.8178694852016,332.6858518417836,0.3436504636443911,0.1989992917619533,-1.068130232239262,0.7920392969567146,0.1491032599225427,0.22,0.39398069445232614,-1.5141277326297755,1.129619033248505,0.6807850241589481,0.07109439585542304,2.2103490076250383,0.09056593446769942,0.7931504250635745,3.936370064579463,1.2411543262843463,30
2011,427.33643489328,0.05,6.05757160672676,658.8567408551304,277.1716782472023,0.4074168555249367,0.22633178331425108,-0.8979184026409261,0.987480763179405,0.1680928888491881,0.25,0.3721969788687895,-1.3862943611198906,1.1025119160430619,0.7529304306113201,0.08300899719148677,NA,NA,NA,NA,NA,31
2012,481.43555441136004,0.05,6.176772378897925,742.2654246424504,312.26052751011815,0.41802095276752854,0.2139992263321342,-0.872223721475552,0.9909302155954158,0.17634089081406823,0.27,0.3353211012656229,-1.3093333199837622,1.053984032914357,0.774645876913442,0.09410751696048307,1.86301987917594,0.08261107264888057,0.6221987620810081,3.236211780010949,1.0725018342875543,32
2013,471.10474713576,0.05,6.155080462360299,726.3376416213188,305.55993529185463,0.38511812299663983,0.20148792710202712,-0.9542051787735444,0.891844917858209,0.16630242062335238,0.21,0.4092927078173405,-1.5606477482646683,1.1480447202763973,0.6619249963768608,0.06662386258471509,1.841930606645053,0.08069456923614525,0.6108142642923431,3.1798085641807985,1.0669536518371703,33
2014,384.36310613368,0.05,5.951587694689974,592.6015259509372,249.29904984578448,0.39425038025354964,0.1962438356364323,-0.9307690886409138,0.9038492365300899,0.1719682398878632,0.21,0.36383095984811975,-1.5606477482646683,1.091805543454666,0.6257263119689237,0.07047809746282525,NA,NA,NA,NA,NA,34
2015,383.50556777808,0.05,5.949354139028075,591.2793945341062,248.74284792669843,0.3432307836821674,0.18325074641093747,-1.069352219347168,0.7669323501881635,0.1536085560064995,0.18,0.4228618632517635,-1.7147984280919266,1.1639664919143664,0.5764700245638562,0.056204136588911276,1.750370707911362,0.09064228133644957,0.5598275985941681,3.117929369562548,0.9826385565443324,35
2016,316.10695391912,0.05,5.756080618091016,487.36587946872817,205.02790721613545,0.4109137448687601,0.19991267582413746,-0.889371953010325,0.9487252139570745,0.1779757755333655,0.2,0.38634733909869257,-1.6094379124341003,1.1202432678313694,0.6131199748847446,0.06524008617973878,NA,NA,NA,NA,NA,36
2017,337.68578138944,0.05,5.822115822239314,520.6355816932077,219.02399867051625,0.35970606124997406,0.26169188177540736,-1.022468077574676,0.9254412338637048,0.13981271394162442,0.23,0.4432053271094427,-1.4696759700589417,1.18716240786678,0.7538864175375255,0.07016972155141243,2.1083251308760866,0.09830542353906664,0.7458938554443505,3.842326141355635,1.1568603741470491,37
2018,396.79726033656004,0.05,5.983425470993132,611.7721972171151,257.36387911515715,0.4382596929832689,0.2287152676406789,-0.8249436379507229,1.066710126636983,0.18005974978350786,0.21,0.429696561531692,-1.5606477482646683,1.1718476399808377,0.6778697570212251,0.06505674510954641,2.7023937346951308,0.09286956375223768,0.994137948646246,4.846357383871126,1.5068909118473077,38
