year,ABC,retro
1992,3.1491918920507564,retro_9
1993,2.8384721266069612,retro_9
1994,2.4816317601291473,retro_9
1995,2.166793573576913,retro_9
1996,1.877361858971777,retro_9
1997,1.6148804166350796,retro_9
1998,1.3650634904351497,retro_9
1999,1.1495995338756648,retro_9
2000,1.039363045759998,retro_9
2001,0.9680723081193596,retro_9
2002,0.9618495406326698,retro_9
2003,0.9802221189225324,retro_9
2004,1.0039363167907558,retro_9
2005,1.0116716775436132,retro_9
2006,1.0116348104310424,retro_9
2007,0.9993962080125749,retro_9
2008,0.9935016955650451,retro_9
2009,0.9758714035801818,retro_9
2010,0.9708052783534622,retro_9
2011,0.9695144322829682,retro_9
2012,0.9843531498857103,retro_9
2013,0.9956933501695727,retro_9
2014,1.0017005405797235,retro_9
2015,1.0059186853511506,retro_9
2016,1.0039883585452523,retro_9
1975,2.506504404478444,retro_10
1976,2.448043753594905,retro_10
1977,2.3917547611080074,retro_10
1978,2.3625634027485436,retro_10
1979,2.329894339889826,retro_10
1980,2.4003409668765174,retro_10
1981,2.703837548281724,retro_10
1982,3.1433751999881476,retro_10
1983,3.5409206382198626,retro_10
1984,3.8587460562840743,retro_10
1985,4.149950400505526,retro_10
1986,4.244429322144848,retro_10
1987,4.234640269631127,retro_10
1988,4.077038550150347,retro_10
1989,3.824625194327644,retro_10
1990,3.6234315976497196,retro_10
1991,3.41843798528646,retro_10
1992,3.1613796450004967,retro_10
1993,2.849921991316622,retro_10
1994,2.4924251931784784,retro_10
1995,2.1770526168671496,retro_10
1996,1.8871180583330376,retro_10
1997,1.6241313669545276,retro_10
1998,1.3738283555663986,retro_10
1999,1.1579329209805824,retro_10
2000,1.0479739279129057,retro_10
2001,0.9774527809355809,retro_10
2002,0.9726251914902285,retro_10
2003,0.9925774617758075,retro_10
2004,1.017760894673373,retro_10
2005,1.0264618189928176,retro_10
2006,1.0269278506051962,retro_10
2007,1.0149338133136359,retro_10
2008,1.009240018427601,retro_10
2009,0.9919277227255754,retro_10
2010,0.9878338249546875,retro_10
2011,0.989152629617143,retro_10
2012,1.0092108059043172,retro_10
2013,1.027591637005106,retro_10
2014,1.0405815394506093,retro_10
2015,1.0499772787133892,retro_10
